Group;Total;AXW (D_0A6FF7A5-3415-4CB4-995F-8F393BC2F2E2);AXW Default Annotations (C_AD61FECA-7D5A-46E6-ABA6-212B7773679F);BAX (D_490B69D4-79CC-4BFD-B932-2389A5BC55DE);BAX Default Annotations (C_8968879C-B2BC-4FEA-B95F-60B5FFC9CBB6);SAX (D_674969D0-4D66-4A65-8D2F-28274AD7C8A4);SAX Default Annotations (C_C0FC58F8-504B-4C64-B741-A61824DA6C66);AXS-normal (D_6D07C059-F8CD-4F7E-B69E-02176068C081);AXS-normal Forschung (C_A1BB5E4F-C4F8-46B6-BA18-EB664C231036);AXV (D_70CAAD92-D160-494F-A2C3-7F4B05302621);AXV Default Annotations (C_49BCF063-3780-47AE-A5D6-1E8DB0DB8F4F);AXU (D_AA0EC5FB-BE03-473C-A0D9-BADAC12B73FC);AXU Default Annotations (C_1C6A20E2-668E-45E7-9E51-C4A9EBA4197E);AXR (D_BA0BE279-69FF-409A-B02A-0889085FDCAD);AXR Default Annotations (C_6E8C8418-604A-494B-B209-377540AF832E)
"gebirges ";2;;;;;;;;;;;;;2;2
"geblentet ";2;;;;;;;;;2;2;;;;
"geblindet ";2;;;;;;;2;2;;;;;;
"geislen ";2;;;;;;;2;2;;;;;;
gepirg;2;;;;;2;2;;;;;;;;
"gestirne ";2;;;;;;;;;2;2;;;;
"gevugel ";1;;;;;;;;;1;1;;;;
gewidere;4;;;;;;;4;4;;;;;;
gewurme;2;;;;;;;2;2;;;;;;
"gewürmes ";1;;;;;;;;;;;;;1;1
"gezwîget ";2;;;;;;;2;2;;;;;;
"gigande
";2;;;;;;;2;2;;;;;;
"giric ";2;;;;;;;2;2;;;;;;
giricheit;2;;;;;;;2;2;;;;;;
"giricheit
";4;;;;;;;4;4;;;;;;
glût;2;;;;;;;2;2;;;;;;
got;70;27;27;;;38;38;4;4;;;;;1;1
"got
";2;;;;;;;2;2;;;;;;
"got ";20;;;;;;;6;6;;;;;14;14
gote;33;;;;;;;4;4;;;17;17;12;12
"gote
";4;;;;;;;4;4;;;;;;
"gote ";22;;;;;;;6;6;;;;;16;16
goten;7;;;;;;;;;;;7;7;;
"goten ";8;;;;;;;;;;;;;8;8
goter;2;2;2;;;;;;;;;;;;
gotes;3;;;;;;;;;;;1;1;2;2
gotn;3;;;;;;;;;;;;;3;3
"gotn
";4;;;;;;;;;;;;;4;4
"gotn ";2;;;;;;;;;;;;;2;2
gots;1;;;;;1;1;;;;;;;;
gott;8;;;;;8;8;;;;;;;;
gotten;6;;;;;6;6;;;;;;;;
gotter;6;3;3;;;3;3;;;;;;;;
gottern;13;4;4;;;9;9;;;;;;;;
gras;9;;;;;;;4;4;;;3;3;2;2
"gras
";2;;;;;;;2;2;;;;;;
"griuwelichen ";2;;;2;2;;;;;;;;;;
"grîfen ";7;;;;;;;4;4;3;3;;;;
"grûnen ";2;;;;;;;2;2;;;;;;
"grûwelîchiste ";2;;;;;;;2;2;;;;;;
göter;4;4;4;;;;;;;;;;;;
götern;3;3;3;;;;;;;;;;;;
götter;6;6;6;;;;;;;;;;;;
göttern;2;2;2;;;;;;;;;;;;
hagel;1;;;;;;;;;;;;;1;1
"hagel ";2;;;;;;;2;2;;;;;;
haidnischen;3;;;;;3;3;;;;;;;;
hande;2;;;;;;;2;2;;;;;;
heide;7;;;;;;;4;4;;;3;3;;
heiden;20;;;;;;;3;3;2;2;12;12;3;3
"heiden ";1;;;;;;;;;;;;;1;1
"heidenischiu ";1;;;;;;;;;;;;;1;1
heidenschaft;2;;;;;;;;;;;;;2;2
"heidenschaft
";1;;;;;;;;;;;;;1;1
"heidenschen ";1;;;;;;;;;;;;;1;1
helfant;5;2;2;;;2;2;;;;;1;1;;
helffant;12;5;5;;;7;7;;;;;;;;
"helffant ";2;2;2;;;;;;;;;;;;
"hellische ";2;;;;;;;2;2;;;;;;
herevart;2;;;;;;;2;2;;;;;;
hienge;2;;;;;;;2;2;;;;;;
"himel ";6;;;;;;;4;4;2;2;;;;
"himele ";2;;;;;;;;;2;2;;;;
hirz;3;;;;;;;2;2;;;1;1;;
"hornen ";2;;;;;;;2;2;;;;;;
hunde;5;;;;;;;;;;;5;5;;
hunden;2;;;;;1;1;;;;;1;1;;
"hundis ";3;;;;;;;3;3;;;;;;
hundt;3;;;;;3;3;;;;;;;;
hunt;3;;;;;;;;;;;3;3;;
"hurnîn ";2;;;;;;;2;2;;;;;;
"hâen
";2;;;;;;;2;2;;;;;;
hân;2;;;;;;;2;2;;;;;;
"hêre ";2;;;;;;;2;2;;;;;;
"hôhmût ";2;;;;;;;2;2;;;;;;
"hôhmûtes ";2;;;;;;;2;2;;;;;;
"hôiste ";2;;;;;;;2;2;;;;;;
hômût;2;;;;;;;2;2;;;;;;
"irbibete ";2;;;;;;;2;2;;;;;;
"irbizzen ";2;;;;;;;2;2;;;;;;
"irfrûsit ";2;;;;;;;2;2;;;;;;
"irhangen
";2;;;;;;;2;2;;;;;;
"irhebet ";2;;;;;;;2;2;;;;;;
"irreheit ";2;;;;;;;;;2;2;;;;
irslûh;2;;;;;;;2;2;;;;;;
"irtrat ";2;;;;;;;2;2;;;;;;
"kelte ";1;;;;;;;;;;;;;1;1
"kinden
";2;;;;;;;2;2;;;;;;
"kindischer ";2;;;;;;;2;2;;;;;;
lederswalen;2;;;;;;;2;2;;;;;;
leo;4;4;4;;;;;;;;;;;;
lewe;2;;;;;;;;;;;2;2;;
lewen;5;;;;;;;;;;;5;5;;
"lewen ";18;;;;;;;15;15;3;3;;;;
liebharten;1;;;;;1;1;;;;;;;;
loub;4;;;;;;;4;4;;;;;;
"loub ";2;;;;;;;2;2;;;;;;
loube;1;;;;;;;;;;;1;1;;
loubes;1;;;;;;;;;;;1;1;;
loup;1;;;;;;;;;;;1;1;;
lêbarten;1;;;;;;;;;;;;;1;1
"lîchamen ";2;;;;;;;2;2;;;;;;
"löun
";1;;;;;;;;;;;;;1;1
"löuwen ";1;;;;;;;;;;;;;1;1
"löuwenfüeze ";1;;;;;;;;;;;1;1;;
löwen;2;;;;;;;;;;;2;2;;
"lûderêre
";2;;;;;;;2;2;;;;;;
"lüewe ";2;;;2;2;;;;;;;;;;
mer;1;;;;;;;;;;;;;1;1
mere;4;;;;;;;4;4;;;;;;
"mere
";2;;;;;;;2;2;;;;;;
"mere ";2;;;;;;;;;2;2;;;;
"meres ";1;;;;;;;;;;;;;1;1
"mers
";3;;;;;;;;;3;3;;;;
mordes;2;;;;;;;;;2;2;;;;
mort;2;;;;;;;2;2;;;;;;
mortlîchen;1;;;;;;;;;;;1;1;;
"mortlîchen ";2;;;;;;;2;2;;;;;;
"munt ";2;;;;;;;2;2;;;;;;
mâzen;2;;;;;;;2;2;;;;;;
"mûwicheit
";2;;;;;;;2;2;;;;;;
nackent;2;2;2;;;;;;;;;;;;
"nasen ";2;;;;;;;2;2;;;;;;
"nebel ";1;;;;;;;;;;;;;1;1
"obezes ";2;;;;;;;2;2;;;;;;
"obezis ";2;;;;;;;2;2;;;;;;
"obiz ";4;;;;;;;4;4;;;;;;
"obize ";2;;;;;;;2;2;;;;;;
"obizzis ";2;;;;;;;2;2;;;;;;
"oliboumes ";2;;;;;;;2;2;;;;;;
ors;2;;;;;;;;;;;;;2;2
orse;1;;;;;;;;;;;;;1;1
ouwen;1;;;;;;;1;1;;;;;;
plûmen;2;;;;;;;2;2;;;;;;
"poum ";1;;;;;;;;;1;1;;;;
"poume ";2;;;;;;;;;2;2;;;;
poumen;2;;;;;;;;;2;2;;;;
"poumen ";2;;;;;;;;;2;2;;;;
