Group;Total;AXW (D_0A6FF7A5-3415-4CB4-995F-8F393BC2F2E2);AXW Default Annotations (C_AD61FECA-7D5A-46E6-ABA6-212B7773679F);BAX (D_490B69D4-79CC-4BFD-B932-2389A5BC55DE);BAX Default Annotations (C_8968879C-B2BC-4FEA-B95F-60B5FFC9CBB6);SAX (D_674969D0-4D66-4A65-8D2F-28274AD7C8A4);SAX Default Annotations (C_C0FC58F8-504B-4C64-B741-A61824DA6C66);AXS-normal (D_6D07C059-F8CD-4F7E-B69E-02176068C081);AXS-normal Forschung (C_A1BB5E4F-C4F8-46B6-BA18-EB664C231036);AXV (D_70CAAD92-D160-494F-A2C3-7F4B05302621);AXV Default Annotations (C_49BCF063-3780-47AE-A5D6-1E8DB0DB8F4F);AXU (D_AA0EC5FB-BE03-473C-A0D9-BADAC12B73FC);AXU Default Annotations (C_1C6A20E2-668E-45E7-9E51-C4A9EBA4197E);AXR (D_BA0BE279-69FF-409A-B02A-0889085FDCAD);AXR Default Annotations (C_6E8C8418-604A-494B-B209-377540AF832E)
"goten ";1;;;;;;;;;;;;;1;1
goter;1;1;1;;;;;;;;;;;;
gotern;1;1;1;;;;;;;;;;;;
gotes;12;;;;;;;;;;;4;4;8;8
"gotes ";1;;;;;;;;;;;;;1;1
gotinne;12;;;;;;;;;;;12;12;;
"gotlîchen ";1;;;;;;;;;;;;;1;1
gotn;4;;;;;;;;;;;;;4;4
"gotn
";3;;;;;;;;;;;;;3;3
gotten;1;;;;;1;1;;;;;;;;
gotter;3;2;2;;;1;1;;;;;;;;
gottern;1;;;;;1;1;;;;;;;;
"gottes ";2;;;2;2;;;;;;;;;;
gottinne;1;;;;;;;;;;;1;1;;
gottinnen;1;;;;;1;1;;;;;;;;
gotîn;1;;;;;;;;;;;1;1;;
"gouchelêres ";1;;;;;;;1;1;;;;;;
goukelâres;1;;;;;;;;;1;1;;;;
grab;1;;;;;;;1;1;;;;;;
gras;22;;;;;;;;;;;21;21;1;1
grîfen;10;;;;;;;;;;;8;8;2;2
grûnen;1;;;;;;;1;1;;;;;;
"grûnen ";2;;;;;;;2;2;;;;;;
göter;3;3;3;;;;;;;;;;;;
götinne;1;;;;;;;;;;;1;1;;
götte;1;;;1;1;;;;;;;;;;
"götten ";1;;;1;1;;;;;;;;;;
göttern;3;3;3;;;;;;;;;;;;
götîn;1;;;;;;;;;;;1;1;;
gût;1;;;;;;;1;1;;;;;;
haidnisch;1;;;;;1;1;;;;;;;;
heide;18;;;;;;;1;1;;;17;17;;
heiden;64;;;;;;;;;;;52;52;12;12
"heiden
";1;;;;;;;;;;;;;1;1
"heiden ";2;;;;;;;;;1;1;;;1;1
heideninne;1;;;;;;;;;;;1;1;;
heidenisch;1;;;;;;;;;;;1;1;;
"heidenischen ";1;;;;;;;;;;;;;1;1
"heidenischiu ";1;;;;;;;;;;;;;1;1
heidenschaft;7;;;;;;;;;;;;;7;7
"heidenschaft
";3;;;;;;;;;;;;;3;3
heidnîn;1;;;;;;;;;;;1;1;;
helfant;6;2;2;;;2;2;;;;;2;2;;
helffant;12;5;5;;;7;7;;;;;;;;
"helffant ";1;1;1;;;;;;;;;;;;
himel;1;;;;;;;1;1;;;;;;
"himel ";1;;;;;;;;;;;;;1;1
hirz;1;;;;;;;;;;;;;1;1
"hirze ";1;;;;;;;1;1;;;;;;
horn;1;;;;;;;1;1;;;;;;
"horn ";1;;;;;;;1;1;;;;;;
horne;1;;;;;;;1;1;;;;;;
"horne ";1;;;;;;;1;1;;;;;;
hovewart;1;;;;;;;1;1;;;;;;
hunde;12;;;;;;;1;1;;;11;11;;
"hunde
";1;;;;;;;1;1;;;;;;
"hunde ";1;;;;;;;1;1;;;;;;
hunden;2;;;;;2;2;;;;;;;;
hundt;7;;;;;7;7;;;;;;;;
hunt;6;;;;;2;2;;;;;4;4;;
"hunt
";1;;;;;;;;;;;;;1;1
"hunt ";2;;;;;1;1;1;1;;;;;;
"hôhmût
";1;;;;;;;1;1;;;;;;
"hûs ";1;;;;;;;1;1;;;;;;
irgremet;1;;;;;;;1;1;;;;;;
"jâmerlîche ";1;;;;;;;1;1;;;;;;
jêmerlîche;1;;;;;;;1;1;;;;;;
"kalte ";1;;;;;;;;;;;;;1;1
"kelte ";1;;;;;;;;;;;;;1;1
knieschîben;1;;;;;;;1;1;;;;;;
"krût ";1;;;1;1;;;;;;;;;;
kunst;1;;;;;;;;;;;1;1;;
"laster ";2;;;;;;;1;1;1;1;;;;
"lasterlîche ";1;;;;;;;;;1;1;;;;
"leben ";1;;;;;;;1;1;;;;;;
"lecken
";1;;;;;;;1;1;;;;;;
leo;2;2;2;;;;;;;;;;;;
lewe;1;;;;;;;;;;;1;1;;
lewen;6;;;;;;;;;;;6;6;;
"lewen ";1;;;;;;;1;1;;;;;;
"loub ";1;;;;;;;1;1;;;;;;
loup;4;;;;;;;;;;;3;3;1;1
"löuwenfüeze ";1;;;;;;;;;;;1;1;;
löwen;2;;;;;;;;;;;2;2;;
mere;2;;;;;;;2;2;;;;;;
"mere
";1;;;;;;;1;1;;;;;;
"mere ";2;;;;;;;;;2;2;;;;
"mers
";1;;;;;;;;;1;1;;;;
"merswîn
";1;;;;;;;;;;;;;1;1
"mordes ";1;;;;;;;1;1;;;;;;
"mordit ";1;;;;;;;1;1;;;;;;
mordêren;1;;;;;;;1;1;;;;;;
mort;1;;;;;;;1;1;;;;;;
"mort
";2;;;;;;;2;2;;;;;;
"mort
";2;;;;;;;;;;;;;2;2
"mort ";3;;;;;;;3;3;;;;;;
mortlich;2;;;;;;;;;;;2;2;;
mortlichen;1;1;1;;;;;;;;;;;;
mortlîche;3;;;;;;;1;1;;;1;1;1;1
"mortlîche ";1;;;;;;;;;;;;;1;1
"mortlîchen ";1;;;;;;;;;;;;;1;1
"mêzlîch ";1;;;;;;;1;1;;;;;;
"mûlen
";1;;;;;;;1;1;;;;;;
"nabel ";2;;;;;;;2;2;;;;;;
nackent;4;3;3;;;;;;;;;1;1;;
"nackit ";1;;;;;;;1;1;;;;;;
"natern ";1;;;;;1;1;;;;;;;;
natûre;1;;;;;;;1;1;;;;;;
"natûre ";2;;;;;;;2;2;;;;;;
"owen
";1;;;;;;;1;1;;;;;;
pantier;1;;;;;;;1;1;;;;;;
"plûmen
";1;;;;;;;1;1;;;;;;
regen;10;3;3;;;;;;;;;7;7;;
"regenwasser ";1;;;1;1;;;;;;;;;;
"regenwazzers ";1;;;;;;;;;;;;;1;1
rinder;3;;;;;1;1;;;;;2;2;;
"rindes ";1;;;;;;;;;;;;;1;1
"rise ";1;;;;;;;;;;;;;1;1
risen;2;;;;;;;1;1;1;1;;;;
"risn ";1;;;;;;;;;;;;;1;1
"roub ";1;;;;;;;1;1;;;;;;
roubaere;2;;;;;;;;;;;1;1;1;1
roube;7;;;;;;;;;;;5;5;2;2
rouben;3;;;;;;;;;;;2;2;1;1
"rouben
";1;;;;;;;;;;;;;1;1
"rouben ";1;;;;;;;;;;;;;1;1
rouber;2;;;;;;;;;;;2;2;;
"roubes ";1;;;;;;;;;;;;;1;1
"roubt ";1;;;1;1;;;;;;;;;;
roubte;3;;;;;;;;;;;3;3;;
roup;3;;;;;;;;;;;3;3;;
"roup ";1;;;;;;;;;;;;;1;1
"rude ";1;;;;;;;;;1;1;;;;
rîchen;1;;;;;;;1;1;;;;;;
"rîchtûm ";1;;;;;;;1;1;;;;;;
rôt;1;;;;;;;1;1;;;;;;
"scande
";1;;;;;;;1;1;;;;;;
"scate ";1;;;;;;;1;1;;;;;;
"schenkelen ";1;;;;;;;1;1;;;;;;
"schentlîchen ";1;;;;;;;1;1;;;;;;
scorpîô;1;;;;;;;;;;;;;1;1
scorpîônen;1;;;;;;;;;;;;;1;1
sculle;1;;;;;;;1;1;;;;;;
"scâfe ";1;;;;;;;1;1;;;;;;
"seltsênen ";1;;;;;;;1;1;;;;;;
singen;1;;;;;;;1;1;;;;;;
slangen;2;;;;;2;2;;;;;;;;
slâfent;1;;;;;;;1;1;;;;;;
"smâhe ";1;;;;;;;;;1;1;;;;
smâheit;1;;;;;;;;;1;1;;;;
"smêlîche
";1;;;;;;;1;1;;;;;;
"smêlîche ";1;;;;;;;1;1;;;;;;
snê;1;;;;;;;;;;;;;1;1
stein;47;;;1;1;;;;;2;2;39;39;5;5
"stein ";3;;;1;1;;;;;;;;;2;2
steine;24;;;;;;;;;;;24;24;;
steinen;5;;;;;;;;;;;5;5;;
stern;4;;;1;1;1;1;;;;;2;2;;
"stern
";1;;;1;1;;;;;;;;;;
"sterne
";6;;;;;;;;;;;;;6;6
"sterne ";1;;;;;;;;;;;;;1;1
sternen;10;;;1;1;;;;;;;3;3;6;6
"sternen
";2;;;;;;;;;;;;;2;2
"sternen ";12;;;4;4;;;;;;;;;8;8
"sterren
";3;;;;;;;3;3;;;;;;
stichit;1;;;;;;;1;1;;;;;;
"stimme
";1;;;;;;;1;1;;;;;;
"stimme ";1;;;;;;;1;1;;;;;;
sunn;1;;;;;;;;;;;1;1;;
sunne;27;;;;;;;;;;;27;27;;
"sunne ";2;;;1;1;;;1;1;;;;;;
sunnen;14;;;;;;;;;;;14;14;;
"sunnen ";5;;;;;;;;;;;;;5;5
swan;2;;;;;;;;;;;1;1;1;1
swein;8;4;4;;;4;4;;;;;;;;
swîn;14;;;;;;;2;2;1;1;11;11;;
swînen;2;;;;;;;;;;;2;2;;
"swînis ";1;;;;;;;1;1;;;;;;
tier;46;1;1;;;12;12;;;;;31;31;2;2
"tier
";1;;;;;;;1;1;;;;;;
"tier ";3;;;1;1;;;2;2;;;;;;
tiere;15;;;;;;;;;;;14;14;1;1
"tiere
";1;;;;;;;1;1;;;;;;
"tiere ";3;;;;;;;3;3;;;;;;
tieren;3;;;;;;;;;;;2;2;1;1
tieres;1;;;;;;;;;;;1;1;;
tiern;1;;;;;1;1;;;;;;;;
tir;1;;;;;1;1;;;;;;;;
tiuvel;20;;;;;;;;;;;14;14;6;6
tiuvelische;1;;;;;;;;;;;1;1;;
tiuvels;9;;;;;;;;;;;4;4;5;5
tiuvelîchen;1;;;;;;;;;;;1;1;;
"tobende ";1;;;;;;;1;1;;;;;;
trache;4;;;;;;;;;;;4;4;;
"trache ";3;;;;;;;;;;;;;3;3
trachen;10;1;1;;;;;;;;;9;9;;
"trachen ";2;;;;;;;;;;;;;2;2
tracke;1;;;1;1;;;;;;;;;;
"tracken ";1;;;1;1;;;;;;;;;;
trakchen;8;;;;;8;8;;;;;;;;
"traken ";2;;;2;2;;;;;;;;;;
"tumb ";1;;;;;;;;;1;1;;;;
tumbe;6;;;;;;;2;2;;;2;2;2;2
"tumbe ";1;;;;;;;;;;;;;1;1
tumben;2;;;;;;;;;;;1;1;1;1
"tumben ";4;;;;;;;1;1;1;1;;;2;2
tumber;2;;;;;;;1;1;;;;;1;1
"tumber ";4;;;;;;;1;1;;;;;3;3
"tumbet ";1;;;;;;;;;;;;;1;1
tumme;2;;;;;;;;;;;2;2;;
tummen;3;;;;;;;;;;;3;3;;
tummer;2;;;;;;;;;;;2;2;;
tumpheit;6;;;;;;;1;1;;;4;4;1;1
"tumpheit ";4;;;1;1;;;;;;;;;3;3
tumplich;2;;;;;;;;;;;1;1;1;1
"tumplich ";1;;;;;;;;;;;;;1;1
tumplîche;1;;;;;;;1;1;;;;;;
"tumplîche
";1;;;;;;;1;1;;;;;;
tyer;10;10;10;;;;;;;;;;;;
tîvel;7;;;;;;;;;;;7;7;;
"tôre
";1;;;;;;;;;;;;;1;1
tôrheit;10;;;;;;;;;;;10;10;;
törhait;1;1;1;;;;;;;;;;;;
törlich;2;2;2;;;;;;;;;;;;
"ubele ";2;;;;;;;;;2;2;;;;
"ubelen ";1;;;;;;;;;1;1;;;;
"uberhûr ";1;;;;;;;;;1;1;;;;
"ubermût
";1;;;;;;;;;1;1;;;;
"ubile ";1;;;;;;;1;1;;;;;;
"ubirhûr ";1;;;;;;;1;1;;;;;;
ubirmût;2;;;;;;;2;2;;;;;;
"ubirmût
";1;;;;;;;1;1;;;;;;
ummâze;1;;;;;;;1;1;;;;;;
"unadel ";2;;;;;;;;;;;;;2;2
"unedel ";1;;;;;;;;;;;;;1;1
"unedele ";1;;;;;;;;;;;;;1;1
ungehewer;1;1;1;;;;;;;;;;;;
ungehewr;2;1;1;;;1;1;;;;;;;;
ungehewrer;1;1;1;;;;;;;;;;;;
ungehewrlich;1;;;;;1;1;;;;;;;;
ungehewrn;2;;;;;2;2;;;;;;;;
ungeheür;1;1;1;;;;;;;;;;;;
ungehiur;1;;;;;;;;;;;1;1;;
ungehiure;5;;;;;;;;;;;5;5;;
ungehiuren;5;;;;;;;;;;;5;5;;
ungehëwr;1;1;1;;;;;;;;;;;;
ungehûr;1;;;;;;;;;;;1;1;;
ungetriuw;1;;;;;;;;;;;;;1;1
ungetriuwe;16;;;;;;;;;;;9;9;7;7
ungetriuwem;1;;;;;;;;;;;1;1;;
ungetriuwen;15;;;;;;;;;;;8;8;7;7
ungetriuwer;4;;;;;;;;;;;;;4;4
ungetriuwez;2;;;;;;;;;;;2;2;;
"ungezogenlîch ";1;;;;;;;;;1;1;;;;
unmâze;8;;;;;;;;;;;4;4;4;4
"unmâze ";1;;;;;;;;;;;;;1;1
unmâzen;17;;;;;;;;;;;15;15;2;2
unrecht;1;;;;;1;1;;;;;;;;
unreht;14;;;;;;;;;;;5;5;9;9
"unreht ";1;;;;;;;;;;;;;1;1
unrehte;10;;;;;;;2;2;;;7;7;1;1
unrehtem;1;;;;;;;;;;;1;1;;
unrehten;4;;;;;;;1;1;;;2;2;1;1
unrehter;3;;;;;;;;;;;3;3;;
unrehtes;3;;;;;;;;;;;1;1;2;2
unrehtez;1;;;;;;;;;;;1;1;;
unreine;2;;;;;;;;;;;;;2;2
unritterlich;2;;;;;;;;;;;;;2;2
untriuw;4;;;;;;;;;;;;;4;4
untriuwe;38;;;;;;;;;;;15;15;23;23
untriuwen;20;;;;;;;;;;;6;6;14;14
"untriuwen ";1;;;;;;;1;1;;;;;;
untriwe;4;;;;;;;;;;;4;4;;
untriwen;1;;;;;;;;;;;1;1;;
untrûwelîche;1;;;;;;;1;1;;;;;;
"unversunnen ";1;;;;;;;1;1;;;;;;
unwîse;1;;;;;;;;;;;1;1;;
unwîsen;4;;;;;;;;;;;4;4;;
unwîser;1;;;;;;;;;;;1;1;;
unzuht;7;;;;;;;;;;;5;5;2;2
"unzuht ";2;;;;;;;;;;;;;2;2
unzuhte;1;;;;;;;1;1;;;;;;
unêren;1;;;;;;;;;;;1;1;;
"unêren
";1;;;;;;;1;1;;;;;;
"unêren
";1;;;;;;;;;;;;;1;1
"vellet ";1;;;;;;;1;1;;;;;;
"verhebet
";1;;;;;;;1;1;;;;;;
verhingen;1;;;;;;;1;1;;;;;;
versezzen;1;;;;;;;1;1;;;;;;
versmâten;1;;;;;;;1;1;;;;;;
verterben;16;;;;;;;1;1;;;15;15;;
verterbet;7;;;;;;;;;;;7;7;;
verterbte;1;;;;;;;;;;;1;1;;
vertorben;4;;;;;;;;;;;4;4;;
verturbe;2;;;;;;;;;;;2;2;;
viech;1;;;;;1;1;;;;;;;;
vihe;4;;;;;;;;;;;4;4;;
vische;3;;;;;1;1;;;;;2;2;;
"vische ";1;;;;;;;;;;;;;1;1
vischen;2;1;1;;;1;1;;;;;;;;
vogel;12;2;2;;;;;;;;;9;9;1;1
"vogel ";2;;;;;;;;;;;;;2;2
"vogele ";2;;;;;;;1;1;;;;;1;1
vogellein;1;;;;;1;1;;;;;;;;
vogeln;1;;;;;;;;;;;1;1;;
"vogels ";1;;;;;;;;;;;;;1;1
vogelîn;3;;;;;;;;;;;2;2;1;1
