Group;Total;AXW (D_0A6FF7A5-3415-4CB4-995F-8F393BC2F2E2);AXW Default Annotations (C_AD61FECA-7D5A-46E6-ABA6-212B7773679F);BAX (D_490B69D4-79CC-4BFD-B932-2389A5BC55DE);BAX Default Annotations (C_8968879C-B2BC-4FEA-B95F-60B5FFC9CBB6);SAX (D_674969D0-4D66-4A65-8D2F-28274AD7C8A4);SAX Default Annotations (C_C0FC58F8-504B-4C64-B741-A61824DA6C66);AXS-normal (D_6D07C059-F8CD-4F7E-B69E-02176068C081);AXS-normal Forschung (C_A1BB5E4F-C4F8-46B6-BA18-EB664C231036);AXV (D_70CAAD92-D160-494F-A2C3-7F4B05302621);AXV Default Annotations (C_49BCF063-3780-47AE-A5D6-1E8DB0DB8F4F);AXU (D_AA0EC5FB-BE03-473C-A0D9-BADAC12B73FC);AXU Default Annotations (C_1C6A20E2-668E-45E7-9E51-C4A9EBA4197E);AXR (D_BA0BE279-69FF-409A-B02A-0889085FDCAD);AXR Default Annotations (C_6E8C8418-604A-494B-B209-377540AF832E)
tugentrîchen;1;;;;;;;;;;;;;1;1
tugentrîcher;1;;;;;;;;;;;;;1;1
tugentrîchiu;1;;;;;;;;;;;;;1;1
"tugentrîchste ";1;;;;;;;;;;;;;1;1
tuginde;2;;;;;;;2;2;;;;;;
"tugint
";2;;;;;;;2;2;;;;;;
"tugint ";4;;;;;;;4;4;;;;;;
tugënreych;1;1;1;;;;;;;;;;;;
tûerlîch;1;;;;;;;;;1;1;;;;
"tûerlîch ";1;;;;;;;;;1;1;;;;
"tûre ";6;;;;;;;6;6;;;;;;
"tûren ";2;;;;;;;2;2;;;;;;
"tûrlîche ";2;;;;;;;2;2;;;;;;
"tûrlîcher ";2;;;;;;;2;2;;;;;;
tügent;1;1;1;;;;;;;;;;;;
tügentlich;2;2;2;;;;;;;;;;;;
tügentreich;1;1;1;;;;;;;;;;;;
"uberisten ";2;;;;;;;2;2;;;;;;
"undertânich ";2;;;;;;;2;2;;;;;;
"vergelden ";2;;;;;;;2;2;;;;;;
vorderst;2;;;;;;;;;;;;;2;2
"vorderst ";1;;;;;;;;;;;;;1;1
"vornême ";2;;;;;;;2;2;;;;;;
vürstlîche;1;;;;;;;;;;;;;1;1
weygant;8;8;8;;;;;;;;;;;;
"wirtscaft
";2;;;;;;;2;2;;;;;;
"wirtscafte ";2;;;;;;;2;2;;;;;;
wirtschaft;3;1;1;;;;;;;;;;;2;2
wirttschaft;1;;;;;1;1;;;;;;;;
witze;11;;;;;;;;;;;4;4;7;7
"witze ";1;;;;;;;;;;;;;1;1
witzeclîche;1;;;;;;;;;;;;;1;1
witzen;19;;;;;;;;;1;1;2;2;16;16
"wunderlîch ";2;;;;;;;2;2;;;;;;
wunderlîche;3;;;;;;;3;3;;;;;;
"wunderlîche
";1;;;;;;;;;;;;;1;1
"wunderlîche ";13;;;;;;;9;9;4;4;;;;
"wunderlîchen ";6;;;;;;;6;6;;;;;;
"wunderlîcher ";1;;;;;;;;;;;;;1;1
"wunderlîh ";2;;;;;;;2;2;;;;;;
wârhaft;2;;;;;;;2;2;;;;;;
"wîben
";2;;;;;;;2;2;;;;;;
"wîcgnôze ";2;;;;;;;2;2;;;;;;
wîgande;20;;;;;;;8;8;;;4;4;8;8
"wîgande
";6;;;;;;;6;6;;;;;;
wîganden;6;;;;;;;4;4;;;;;2;2
wîgant;32;;;;;;;;;;;6;6;26;26
"wîgant
";8;;;;;;;8;8;;;;;;
"wîgant
";1;;;;;;;;;;;1;1;;
wîp;2;;;;;;;;;2;2;;;;
wîs;34;;;;;;;6;6;;;7;7;21;21
"wîs ";6;;;;;;;4;4;2;2;;;;
wîse;60;;;;;;;;;;;12;12;48;48
"wîse ";9;;;;;;;6;6;2;2;;;1;1
wîsen;41;;;;;;;2;2;;;7;7;32;32
"wîsen ";1;;;;;;;;;;;;;1;1
wîser;5;;;;;;;2;2;;;;;3;3
wîset;2;;;;;;;;;;;;;2;2
wîsheit;27;;;;;;;4;4;;;11;11;12;12
"wîsheit ";8;;;;;;;4;4;4;4;;;;
"wîsheite
";2;;;;;;;2;2;;;;;;
wîslich;3;;;;;;;;;;;1;1;2;2
wîslîch;3;;;;;;;;;;;;;3;3
wîslîche;10;;;;;;;4;4;;;;;6;6
"wîslîche
";2;;;;;;;2;2;;;;;;
"wîslîchen ";2;;;;;;;2;2;;;;;;
wîslîcher;2;;;;;;;;;;;;;2;2
wîsseheit;2;;;;;;;;;2;2;;;;
wîstûm;2;;;;;;;2;2;;;;;;
wîz;3;;;;;;;;;;;1;1;2;2
wîze;2;;;;;;;;;;;1;1;1;1
zam;3;;;;;;;;;;;3;3;;
zevorn;2;;;;;;;2;2;;;;;;
zins;42;16;16;;;7;7;;;;;13;13;6;6
"zins ";30;;;;;;;20;20;10;10;;;;
zinse;5;;;;;;;;;;;2;2;3;3
zinsen;3;;;;;;;;;;;2;2;1;1
zinsent;2;;;;;;;;;;;;;2;2
zinses;4;;;;;1;1;;;;;3;3;;
zinshaft;6;;;;;1;1;;;;;2;2;3;3
"zinsis ";2;;;;;;;2;2;;;;;;
zinslîche;2;;;;;;;;;;;;;2;2
zinslîcher;1;;;;;;;;;;;;;1;1
zinsten;1;;;;;;;;;;;;;1;1
zinsthaft;1;;;;;1;1;;;;;;;;
zinsêre;4;;;;;;;4;4;;;;;;
zorn;8;;;;;;;8;8;;;;;;
"zorne ";2;;;;;;;2;2;;;;;;
"zorns ";2;;;;;;;2;2;;;;;;
zucht;1;;;;;1;1;;;;;;;;
zuchtiklich;3;;;;;3;3;;;;;;;;
zuchtiklichen;1;;;;;1;1;;;;;;;;
zuht;45;;;;;;;;;;;26;26;19;19
"zuhten ";2;;;;;;;2;2;;;;;;
zurne;2;;;;;;;2;2;;;;;;
"zurnic ";2;;;;;;;2;2;;;;;;
"zurnigen ";2;;;;;;;2;2;;;;;;
zühte;10;;;;;;;;;;;4;4;6;6
zühteclich;1;;;;;;;;;;;1;1;;
zühteclîche;5;;;;;;;;;;;;;5;5
zühteclîchem;1;;;;;;;;;;;;;1;1
zühteclîchen;3;;;;;;;;;;;1;1;2;2
zühteclîcher;1;;;;;;;;;;;;;1;1
zühten;12;;;;;;;;;;;7;7;5;5
zühterîchen;1;;;;;;;;;;;;;1;1
âventiure;2;;;;;;;;;;;;;2;2
"âventiure ";1;;;;;;;;;;;;;1;1
êr;7;;;;;;;2;2;;;;;5;5
"êr ";2;;;;;;;2;2;;;;;;
êre;106;;;;;;;12;12;;;32;32;62;62
"êre
";1;;;;;;;;;;;;;1;1
"êre ";10;;;;;;;8;8;2;2;;;;
êren;70;;;;;;;14;14;2;2;15;15;39;39
"êren
";12;;;;;;;12;12;;;;;;
"êren ";8;;;;;;;8;8;;;;;;
êrent;3;;;;;;;;;;;2;2;1;1
êret;4;;;;;;;;;;;1;1;3;3
"êrete ";2;;;;;;;2;2;;;;;;
êrhaft;2;;;;;;;2;2;;;;;;
"êrhaft ";2;;;;;;;;;2;2;;;;
êrte;2;;;;;;;;;;;;;2;2
